datetime,open,high,low,close
2019-10-24 13:00:00,108.609,108.628,108.58,108.587
2019-10-24 13:20:00,108.587,108.598,108.533,108.537
2019-10-24 13:40:00,108.536,108.57,108.506,108.506
2019-10-24 14:00:00,108.507,108.566,108.498,108.522
2019-10-24 14:20:00,108.522,108.564,108.496,108.558
2019-10-24 14:40:00,108.559,108.589,108.505,108.511
2019-10-24 15:00:00,108.51,108.577,108.505,108.548
2019-10-24 15:20:00,108.548,108.624,108.548,108.601
2019-10-24 15:40:00,108.602,108.648,108.572,108.63
2019-10-24 16:00:00,108.631,108.647,108.521,108.565
2019-10-24 16:20:00,108.566,108.601,108.558,108.581
2019-10-24 16:40:00,108.58,108.603,108.573,108.581
2019-10-24 17:00:00,108.58,108.584,108.546,108.547
2019-10-24 17:20:00,108.547,108.561,108.536,108.557
2019-10-24 17:40:00,108.556,108.574,108.538,108.572
2019-10-24 18:00:00,108.571,108.597,108.56,108.584
2019-10-24 18:20:00,108.584,108.625,108.584,108.619
2019-10-24 18:40:00,108.619,108.633,108.593,108.616
2019-10-24 19:00:00,108.616,108.629,108.606,108.626
2019-10-24 19:20:00,108.626,108.638,108.61,108.636
2019-10-24 19:40:00,108.635,108.657,108.631,108.646
2019-10-24 20:00:00,108.646,108.655,108.602,108.637
2019-10-24 20:20:00,108.637,108.653,108.637,108.653
2019-10-24 20:40:00,108.654,108.66,108.599,108.599
2019-10-24 21:00:00,108.599,108.64,108.572,108.601
2019-10-24 21:20:00,108.601,108.646,108.586,108.61
2019-10-24 21:40:00,108.613,108.63,108.611,108.63
2019-10-24 22:00:00,108.633,108.636,108.604,108.615
2019-10-24 22:20:00,108.615,108.628,108.601,108.616
2019-10-24 22:40:00,108.615,108.627,108.608,108.626
2019-10-24 23:00:00,108.626,108.633,108.608,108.625
2019-10-24 23:20:00,108.625,108.632,108.61,108.622
2019-10-24 23:40:00,108.622,108.625,108.596,108.614
2019-10-25 00:00:00,108.611,108.625,108.595,108.595
2019-10-25 00:20:00,108.596,108.701,108.591,108.688
2019-10-25 00:40:00,108.687,108.706,108.644,108.655
2019-10-25 01:00:00,108.654,108.683,108.645,108.676
2019-10-25 01:20:00,108.674,108.695,108.665,108.669
2019-10-25 01:40:00,108.668,108.669,108.626,108.66
2019-10-25 02:00:00,108.657,108.667,108.638,108.662
2019-10-25 02:20:00,108.661,108.665,108.642,108.649
2019-10-25 02:40:00,108.648,108.651,108.632,108.638
2019-10-25 03:00:00,108.638,108.671,108.63,108.666
2019-10-25 03:20:00,108.668,108.669,108.65,108.657
2019-10-25 03:40:00,108.656,108.664,108.638,108.656
2019-10-25 04:00:00,108.656,108.665,108.641,108.646
2019-10-25 04:20:00,108.646,108.651,108.636,108.647
2019-10-25 04:40:00,108.646,108.655,108.644,108.654
2019-10-25 05:00:00,108.653,108.665,108.647,108.665
2019-10-25 05:20:00,108.663,108.667,108.652,108.658
2019-10-25 05:40:00,108.659,108.681,108.657,108.675
2019-10-25 06:00:00,108.676,108.687,108.656,108.667
2019-10-25 06:20:00,108.668,108.669,108.646,108.662
2019-10-25 06:40:00,108.662,108.681,108.645,108.673
2019-10-25 07:00:00,108.672,108.689,108.644,108.652
2019-10-25 07:20:00,108.653,108.657,108.629,108.634
2019-10-25 07:40:00,108.635,108.65,108.612,108.614
2019-10-25 08:00:00,108.614,108.638,108.61,108.611
2019-10-25 08:20:00,108.612,108.622,108.597,108.608
2019-10-25 08:40:00,108.608,108.621,108.56,108.576
2019-10-25 09:00:00,108.577,108.6,108.576,108.597
2019-10-25 09:20:00,108.598,108.612,108.595,108.609
2019-10-25 09:40:00,108.61,108.648,108.605,108.637
2019-10-25 10:00:00,108.637,108.642,108.617,108.64
2019-10-25 10:20:00,108.64,108.652,108.619,108.63
2019-10-25 10:40:00,108.629,108.632,108.602,108.619
2019-10-25 11:00:00,108.619,108.627,108.572,108.574
2019-10-25 11:20:00,108.574,108.578,108.553,108.558
2019-10-25 11:40:00,108.557,108.583,108.555,108.564
2019-10-25 12:00:00,108.565,108.588,108.563,108.588
2019-10-25 12:20:00,108.587,108.597,108.51,108.523
2019-10-25 12:40:00,108.523,108.563,108.522,108.553
2019-10-25 13:00:00,108.551,108.557,108.517,108.544
2019-10-25 13:20:00,108.545,108.602,108.539,108.588
2019-10-25 13:40:00,108.589,108.633,108.586,108.597
2019-10-25 14:00:00,108.597,108.626,108.564,108.625
2019-10-25 14:20:00,108.626,108.661,108.594,108.624
2019-10-25 14:40:00,108.623,108.623,108.559,108.588
2019-10-25 15:00:00,108.587,108.649,108.552,108.623
2019-10-25 15:20:00,108.625,108.701,108.625,108.677
2019-10-25 15:40:00,108.677,108.751,108.672,108.746
2019-10-25 16:00:00,108.746,108.766,108.719,108.729
2019-10-25 16:20:00,108.73,108.75,108.724,108.737
2019-10-25 16:40:00,108.737,108.773,108.724,108.761
2019-10-25 17:00:00,108.761,108.768,108.742,108.767
2019-10-25 17:20:00,108.767,108.77,108.726,108.729
2019-10-25 17:40:00,108.727,108.747,108.726,108.747
2019-10-25 18:00:00,108.746,108.747,108.681,108.696
2019-10-25 18:20:00,108.698,108.711,108.688,108.708
2019-10-25 18:40:00,108.707,108.717,108.679,108.691
2019-10-25 19:00:00,108.691,108.691,108.657,108.674
2019-10-25 19:20:00,108.675,108.688,108.664,108.683
2019-10-25 19:40:00,108.683,108.684,108.658,108.663
2019-10-25 20:00:00,108.664,108.681,108.657,108.672
2019-10-25 20:20:00,108.673,108.678,108.662,108.673
2019-10-25 20:40:00,108.672,108.677,108.654,108.655
2019-10-27 21:00:00,108.74,108.766,108.721,108.726
2019-10-27 21:20:00,108.725,108.731,108.7,108.722
2019-10-27 21:40:00,108.723,108.729,108.71,108.71
2019-10-27 22:00:00,108.708,108.728,108.669,108.71
2019-10-27 22:20:00,108.713,108.722,108.688,108.716
2019-10-27 22:40:00,108.716,108.723,108.696,108.701
